ts,traffic,destination,median,percentile99,maximum
2017-10-06T05:00:00Z,external,/sparql,6,28,112
2017-10-06T05:00:00Z,internal,/sparql,18,46,57
2017-10-06T06:00:00Z,external,/bigdata/ldf,10,139,142
2017-10-06T06:00:00Z,external,/sparql,6,37,95
2017-10-06T06:00:00Z,internal,/sparql,18,47,57
2017-10-06T07:00:00Z,external,/bigdata/ldf,13,143,146
2017-10-06T07:00:00Z,external,/sparql,11,44,93
2017-10-06T07:00:00Z,internal,/sparql,17,48,61
2017-10-06T08:00:00Z,external,/bigdata/ldf,16,146,146
2017-10-06T08:00:00Z,external,/sparql,9,39,102
2017-10-06T08:00:00Z,internal,/sparql,18,46,58
2017-10-06T09:00:00Z,external,/bigdata/ldf,12,146,149
2017-10-06T09:00:00Z,external,/sparql,10,48,136
2017-10-06T09:00:00Z,internal,/sparql,19,57,70
2017-10-06T10:00:00Z,external,/bigdata/ldf,11,132,136
2017-10-06T10:00:00Z,external,/sparql,8,31,62
2017-10-06T10:00:00Z,internal,/sparql,21,47,63
2017-10-06T11:00:00Z,external,/bigdata/ldf,13,141,143
2017-10-06T11:00:00Z,external,/sparql,5,31,64
2017-10-06T11:00:00Z,internal,/sparql,19,45,58
2017-10-06T12:00:00Z,external,/bigdata/ldf,12,130,134
2017-10-06T12:00:00Z,external,/sparql,7,38,60
2017-10-06T12:00:00Z,internal,/sparql,29,57,73
2017-10-06T13:00:00Z,external,/bigdata/ldf,13,133,134
2017-10-06T13:00:00Z,external,/sparql,8,52,87
2017-10-06T13:00:00Z,internal,/sparql,18,48,65
2017-10-06T14:00:00Z,external,/sparql,11,57,164
2017-10-06T14:00:00Z,internal,/bigdata/ldf,13,142,143
2017-10-06T14:00:00Z,internal,/sparql,18,54,63
2017-10-06T15:00:00Z,external,/bigdata/ldf,9,146,147
2017-10-06T15:00:00Z,external,/sparql,12,44,75
2017-10-06T15:00:00Z,internal,/sparql,17,44,62
2017-10-06T16:00:00Z,external,/bigdata/ldf,12,138,142
2017-10-06T16:00:00Z,external,/sparql,8,35,72
2017-10-06T16:00:00Z,internal,/sparql,19,54,69
