date,traffic,agent_type,agent_type_plus,requests,lower10_ttfb,lower25_ttfb,median_ttfb,upper75_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-08-29,external,user,user,74351,0.00014097630424383711,0.018725119791666668,0.09989548854610399,0.1098676842716942,0.1881577333333334,5.4550784400000625,24443.14329599999
2017-10-28,external,user,bot,210466,0.0318303967094109,0.09932718884660426,0.10065710868075342,0.10328985141127,0.11723251665306123,0.33699061999999985,25287.735653999986
2017-11-09,external,user,user,77980,0.00012383146756632423,0.0007547622388644436,0.09061304867724868,0.19757867999999995,0.526464,19.23196259999993,51931.084833999994
2017-05-04,external,user,user,73569,0.052633955647031536,0.10033089672784433,0.12583639044816652,0.14706664366729674,0.23357670000000033,2.039043629999996,20058.084716999994
2017-08-24,internal,spider,bot,1130130,0.015928936253550154,0.017041394156412218,0.019913747641385624,0.05320471401615467,0.08301368606670233,2.1468490999999967,140537.46493199977
2017-09-27,external,user,bot,138674,0.00010598432700397634,0.03510617838541666,0.10130915402432161,0.1112982164858461,0.1612656228571429,0.5911532400000007,21780.943844999885
2017-10-16,external,user,user,6412206,0.00010784406578303542,0.00017395082265576748,0.11294964350083973,0.12058957279427036,0.17092323884377444,0.35594656209077014,607765.478772013
2017-06-28,internal,spider,bot,1011529,0.015893178055795237,0.017068085825567098,0.019441474313125456,0.04730651683890661,0.07767544331450477,1.442913113999996,90670.58446799988
2017-11-04,internal,spider,bot,1232424,0.015943627804127187,0.01687744584578313,0.019719520903206594,0.06040245598453491,0.08132151855121823,1.2319436337500012,109281.85913000001
2017-07-31,internal,spider,bot,1068905,0.01579920546424735,0.01696506491837899,0.019293743677607163,0.04934282258127045,0.0797022336021125,2.016407929999996,119112.28999400004
2017-10-11,internal,spider,bot,1262404,0.01587630389062294,0.01677072387482314,0.020066161159362404,0.0617316666854134,0.08382313560202412,2.0088985311111056,158759.24613699972
2017-06-30,internal,user,user,3,0.363549,0.363549,0.365202,0.4244575,0.5281420000000001,0.5903527,1.327669
2017-09-15,external,user,user,108876,0.00012929603607880373,0.0007437360601049765,0.0999038634449191,0.14835859504132232,0.4071704000000002,6.114074360000014,37543.57606400004
2017-07-19,external,user,user,81513,0.017269122027744107,0.04317010390624999,0.10064201001009318,0.11797835203288833,0.9452679499999995,8.520440059999963,55051.13464200002
2017-08-21,internal,user,bot,970530,9.010971808746853e-05,9.010971808746853e-05,0.016151875193558263,0.01866617083784259,0.028693232688282295,0.20865633888888846,23469.165169000276
2017-08-07,internal,spider,bot,1071331,0.016000720836093798,0.017134965818208357,0.019423399749436923,0.049269636882575636,0.0767277352827571,0.4342309002812478,86382.85875199999
2017-06-25,internal,user,bot,119783,0.00010999438505093107,0.0148840666521405,0.016376087246924846,0.01848001665897199,0.026057148437499997,0.2881675899999998,9358.426894000018
2017-09-10,internal,spider,bot,1146701,0.016568492661071126,0.017873578343488555,0.021232408745633737,0.053320093583145836,0.08283796227621622,1.301700994999998,107220.69812900004
